"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"282","2500","region","London","E12000007","2020-11-30","35_to_39","7327","1794.4","85_to_89","1520","4015.1","/v1/data?filters=areaType=region;areaName=London&latestBy=&structure=%7B%22areaType%22:%22areaType%22,%22areaName%22:%22areaName%22,%22areaCode%22:%22areaCode%22,%22date%22:%22date%22,%22femaleCases%22:%22femaleCases%22,%22maleCases%22:%22maleCases%22%7D&format=json&page=1","null","null","/v1/data?filters=areaType=region;areaName=London&latestBy=&structure=%7B%22areaType%22:%22areaType%22,%22areaName%22:%22areaName%22,%22areaCode%22:%22areaCode%22,%22date%22:%22date%22,%22femaleCases%22:%22femaleCases%22,%22maleCases%22:%22maleCases%22%7D&format=json&page=1","/v1/data?filters=areaType=region;areaName=London&latestBy=&structure=%7B%22areaType%22:%22areaType%22,%22areaName%22:%22areaName%22,%22areaCode%22:%22areaCode%22,%22date%22:%22date%22,%22femaleCases%22:%22femaleCases%22,%22maleCases%22:%22maleCases%22%7D&format=json&page=1"
"","","","","","","0_to_4","1588","537.2","60_to_64","3945","2065.3","","","","",""
"","","","","","","60_to_64","3328","1663.5","20_to_24","6428","2671.7","","","","",""
"","","","","","","20_to_24","7990","3519.8","80_to_84","1929","2943.6","","","","",""
"","","","","","","90+","1736","4597.7","10_to_14","3217","1041.7","","","","",""
"","","","","","","65_to_69","2201","1335.8","55_to_59","4873","1739.7","","","","",""
"","","","","","","30_to_34","8916","2311.1","40_to_44","6018","1488.1","","","","",""
"","","","","","","45_to_49","6235","1932.9","65_to_69","2654","1791.4","","","","",""
"","","","","","","40_to_44","6600","1750.2","70_to_74","2270","1785","","","","",""
"","","","","","","75_to_79","1678","1573.8","0_to_4","1677","540.3","","","","",""
"","","","","","","85_to_89","1766","3176","25_to_29","8269","2917","","","","",""
"","","","","","","10_to_14","2904","987.2","35_to_39","6766","1574.3","","","","",""
"","","","","","","80_to_84","1785","2093","50_to_54","5392","1789.8","","","","",""
"","","","","","","25_to_29","10059","3567.6","90+","971","4929.4","","","","",""
"","","","","","","15_to_19","5526","2107.9","75_to_79","1955","2255.2","","","","",""
"","","","","","","70_to_74","1842","1258.4","30_to_34","8127","2115.2","","","","",""
"","","","","","","55_to_59","4847","1689.4","5_to_9","1777","732.1","","","","",""
"","","","","","","5_to_9","1618","640.2","45_to_49","5684","1679.4","","","","",""
"","","","","","","50_to_54","5784","1958.3","15_to_19","4967","1803.2","","","","",""
"","","region","London","E12000007","2020-11-29","35_to_39","7321","1792.9","35_to_39","6760","1572.9","","","","",""
"","","","","","","55_to_59","4843","1688","85_to_89","1520","4015.1","","","","",""
"","","","","","","40_to_44","6587","1746.7","80_to_84","1929","2943.6","","","","",""
"","","","","","","90+","1735","4595.1","75_to_79","1954","2254.1","","","","",""
"","","","","","","5_to_9","1616","639.4","70_to_74","2268","1783.4","","","","",""
"","","","","","","70_to_74","1841","1257.7","45_to_49","5676","1677","","","","",""
"","","","","","","85_to_89","1766","3176","90+","971","4929.4","","","","",""
"","","","","","","0_to_4","1587","536.9","20_to_24","6420","2668.3","","","","",""
"","","","","","","50_to_54","5776","1955.6","65_to_69","2652","1790","","","","",""
"","","","","","","65_to_69","2199","1334.6","60_to_64","3940","2062.7","","","","",""
"","","","","","","30_to_34","8903","2307.8","25_to_29","8264","2915.2","","","","",""
"","","","","","","75_to_79","1677","1572.8","15_to_19","4954","1798.5","","","","",""
"","","","","","","20_to_24","7985","3517.6","55_to_59","4867","1737.5","","","","",""
"","","","","","","60_to_64","3327","1663","50_to_54","5383","1786.9","","","","",""
"","","","","","","25_to_29","10050","3564.4","10_to_14","3206","1038.2","","","","",""
"","","","","","","15_to_19","5517","2104.5","5_to_9","1772","730","","","","",""
"","","","","","","10_to_14","2901","986.1","40_to_44","6010","1486.1","","","","",""
"","","","","","","45_to_49","6229","1931","0_to_4","1675","539.6","","","","",""
"","","","","","","80_to_84","1785","2093","30_to_34","8122","2113.9","","","","",""
"","","region","London","E12000007","2020-11-28","50_to_54","5726","1938.7","50_to_54","5326","1767.9","","","","",""
"","","","","","","0_to_4","1564","529.1","55_to_59","4836","1726.5","","","","",""
"","","","","","","5_to_9","1590","629.1","80_to_84","1925","2937.5","","","","",""
"","","","","","","85_to_89","1759","3163.4","60_to_64","3921","2052.7","","","","",""
"","","","","","","65_to_69","2185","1326.1","25_to_29","8215","2898","","","","",""
"","","","","","","30_to_34","8845","2292.7","30_to_34","8061","2098","","","","",""
"","","","","","","10_to_14","2836","964","45_to_49","5627","1662.6","","","","",""
"","","","","","","35_to_39","7247","1774.8","40_to_44","5962","1474.2","","","","",""
"","","","","","","55_to_59","4812","1677.2","85_to_89","1519","4012.5","","","","",""
"","","","","","","15_to_19","5460","2082.7","15_to_19","4901","1779.3","","","","",""
"","","","","","","25_to_29","9992","3543.9","70_to_74","2260","1777.1","","","","",""
"","","","","","","20_to_24","7941","3498.2","0_to_4","1657","533.8","","","","",""
"","","","","","","45_to_49","6150","1906.5","65_to_69","2637","1779.9","","","","",""
"","","","","","","60_to_64","3306","1652.5","10_to_14","3143","1017.8","","","","",""
"","","","","","","40_to_44","6513","1727.1","5_to_9","1741","717.3","","","","",""
"","","","","","","80_to_84","1777","2083.6","20_to_24","6389","2655.4","","","","",""
"","","","","","","70_to_74","1832","1251.6","75_to_79","1945","2243.7","","","","",""
"","","","","","","90+","1731","4584.5","35_to_39","6722","1564.1","","","","",""
"","","","","","","75_to_79","1667","1563.5","90+","970","4924.4","","","","",""
"","","region","London","E12000007","2020-11-27","30_to_34","8766","2272.2","65_to_69","2624","1771.1","","","","",""
"","","","","","","85_to_89","1751","3149.1","85_to_89","1515","4001.9","","","","",""
"","","","","","","20_to_24","7870","3466.9","75_to_79","1939","2236.8","","","","",""
"","","","","","","60_to_64","3278","1638.5","40_to_44","5900","1458.9","","","","",""
"","","","","","","5_to_9","1583","626.3","60_to_64","3892","2037.6","","","","",""
"","","","","","","65_to_69","2171","1317.6","55_to_59","4801","1714","","","","",""
"","","","","","","75_to_79","1654","1551.3","5_to_9","1718","707.8","","","","",""
"","","","","","","80_to_84","1768","2073","35_to_39","6660","1549.6","","","","",""
"","","","","","","70_to_74","1816","1240.6","50_to_54","5284","1754","","","","",""
"","","","","","","0_to_4","1546","523","45_to_49","5567","1644.8","","","","",""
"","","","","","","10_to_14","2775","943.3","30_to_34","7974","2075.4","","","","",""
"","","","","","","35_to_39","7166","1755","90+","967","4909.1","","","","",""
"","","","","","","15_to_19","5376","2050.7","15_to_19","4833","1754.6","","","","",""
"","","","","","","55_to_59","4770","1662.6","20_to_24","6341","2635.5","","","","",""
"","","","","","","25_to_29","9915","3516.6","80_to_84","1918","2926.9","","","","",""
"","","","","","","40_to_44","6454","1711.5","0_to_4","1641","528.7","","","","",""
"","","","","","","90+","1726","4571.2","10_to_14","3066","992.8","","","","",""
"","","","","","","50_to_54","5667","1918.7","25_to_29","8154","2876.4","","","","",""
"","","","","","","45_to_49","6085","1886.4","70_to_74","2251","1770.1","","","","",""
"","","region","London","E12000007","2020-11-26","75_to_79","1635","1533.4","5_to_9","1671","688.4","","","","",""
"","","","","","","40_to_44","6362","1687.1","75_to_79","1927","2222.9","","","","",""
"","","","","","","20_to_24","7785","3429.5","35_to_39","6573","1529.4","","","","",""
"","","","","","","25_to_29","9825","3484.6","55_to_59","4760","1699.3","","","","",""
"","","","","","","45_to_49","5984","1855","70_to_74","2242","1763","","","","",""
"","","","","","","30_to_34","8661","2245","15_to_19","4718","1712.8","","","","",""
"","","","","","","50_to_54","5600","1896","80_to_84","1903","2904","","","","",""
"","","","","","","35_to_39","7065","1730.2","25_to_29","8069","2846.4","","","","",""
"","","","","","","65_to_69","2151","1305.4","60_to_64","3852","2016.6","","","","",""
"","","","","","","55_to_59","4719","1644.8","90+","965","4899","","","","",""
"","","","","","","0_to_4","1513","511.8","45_to_49","5498","1624.5","","","","",""
"","","","","","","60_to_64","3236","1617.5","30_to_34","7900","2056.1","","","","",""
"","","","","","","80_to_84","1747","2048.4","0_to_4","1625","523.5","","","","",""
"","","","","","","85_to_89","1731","3113.1","50_to_54","5229","1735.7","","","","",""
"","","","","","","70_to_74","1795","1226.3","40_to_44","5813","1437.4","","","","",""
"","","","","","","90+","1710","4528.8","20_to_24","6267","2604.7","","","","",""
"","","","","","","5_to_9","1540","609.3","85_to_89","1505","3975.5","","","","",""
"","","","","","","10_to_14","2688","913.7","10_to_14","2974","963","","","","",""
"","","","","","","15_to_19","5288","2017.1","65_to_69","2610","1761.7","","","","",""
"","","region","London","E12000007","2020-11-25","35_to_39","6958","1704","5_to_9","1638","674.8","","","","",""
"","","","","","","5_to_9","1515","599.4","65_to_69","2580","1741.4","","","","",""
"","","","","","","20_to_24","7689","3387.2","80_to_84","1893","2888.7","","","","",""
"","","","","","","75_to_79","1624","1523.1","0_to_4","1596","514.2","","","","",""
"","","","","","","70_to_74","1782","1217.4","45_to_49","5415","1599.9","","","","",""
"","","","","","","80_to_84","1737","2036.7","35_to_39","6492","1510.5","","","","",""
"","","","","","","85_to_89","1722","3096.9","15_to_19","4631","1681.2","","","","",""
"","","","","","","25_to_29","9723","3448.5","20_to_24","6202","2577.7","","","","",""
"","","","","","","15_to_19","5215","1989.3","10_to_14","2884","933.9","","","","",""
"","","","","","","0_to_4","1484","502","30_to_34","7811","2032.9","","","","",""
"","","","","","","10_to_14","2611","887.6","40_to_44","5740","1419.3","","","","",""
"","","","","","","30_to_34","8556","2217.8","90+","960","4873.6","","","","",""
"","","","","","","60_to_64","3194","1596.5","60_to_64","3816","1997.8","","","","",""
"","","","","","","50_to_54","5515","1867.2","50_to_54","5163","1713.8","","","","",""
"","","","","","","40_to_44","6247","1656.6","75_to_79","1912","2205.6","","","","",""
"","","","","","","55_to_59","4674","1629.1","55_to_59","4718","1684.3","","","","",""
"","","","","","","90+","1699","4499.7","85_to_89","1501","3964.9","","","","",""
"","","","","","","45_to_49","5896","1827.8","25_to_29","7996","2820.7","","","","",""
"","","","","","","65_to_69","2128","1291.5","70_to_74","2229","1752.8","","","","",""
"","","region","London","E12000007","2020-11-24","85_to_89","1710","3075.3","30_to_34","7714","2007.7","","","","",""
"","","","","","","15_to_19","5129","1956.5","45_to_49","5334","1576","","","","",""
"","","","","","","60_to_64","3161","1580","10_to_14","2783","901.2","","","","",""
"","","","","","","90+","1693","4483.8","0_to_4","1563","503.5","","","","",""
"","","","","","","70_to_74","1770","1209.2","15_to_19","4532","1645.3","","","","",""
"","","","","","","10_to_14","2527","859","80_to_84","1885","2876.5","","","","",""
"","","","","","","35_to_39","6846","1676.6","65_to_69","2545","1717.8","","","","",""
"","","","","","","40_to_44","6147","1630.1","35_to_39","6395","1488","","","","",""
"","","","","","","75_to_79","1618","1517.5","70_to_74","2215","1741.8","","","","",""
"","","","","","","0_to_4","1452","491.2","85_to_89","1494","3946.4","","","","",""
"","","","","","","55_to_59","4619","1609.9","50_to_54","5084","1687.6","","","","",""
"","","","","","","45_to_49","5816","1803","5_to_9","1594","656.7","","","","",""
"","","","","","","5_to_9","1472","582.4","55_to_59","4658","1662.9","","","","",""
"","","","","","","20_to_24","7590","3343.6","75_to_79","1898","2189.5","","","","",""
"","","","","","","30_to_34","8442","2188.3","20_to_24","6121","2544.1","","","","",""
"","","","","","","80_to_84","1716","2012.1","90+","951","4827.9","","","","",""
"","","","","","","50_to_54","5429","1838.1","40_to_44","5646","1396.1","","","","",""
"","","","","","","25_to_29","9610","3408.4","60_to_64","3778","1977.9","","","","",""
"","","","","","","65_to_69","2109","1280","25_to_29","7914","2791.8","","","","",""
"","","region","London","E12000007","2020-11-23","80_to_84","1698","1991","15_to_19","4438","1611.2","","","","",""
"","","","","","","70_to_74","1746","1192.8","25_to_29","7824","2760","","","","",""
"","","","","","","15_to_19","5039","1922.2","65_to_69","2520","1700.9","","","","",""
"","","","","","","5_to_9","1432","566.6","35_to_39","6309","1468","","","","",""
