nation,date,dailyCases,totalCases
England,09-Mar-20,40,282
Northern Ireland,09-Mar-20,3,12
Scotland,09-Mar-20,5,23
Wales,09-Mar-20,2,4
England,10-Mar-20,46,324
Northern Ireland,10-Mar-20,0,16
Scotland,10-Mar-20,4,27
Wales,10-Mar-20,2,6
England,11-Mar-20,63,387
Northern Ireland,11-Mar-20,2,18
Scotland,11-Mar-20,9,36
Wales,11-Mar-20,9,15
England,12-Mar-20,99,486
Northern Ireland,12-Mar-20,1,19
Scotland,12-Mar-20,24,60
Wales,12-Mar-20,10,25
England,13-Mar-20,159,645
Northern Ireland,13-Mar-20,10,29
Scotland,13-Mar-20,25,85
Wales,13-Mar-20,13,38
England,14-Mar-20,201,846
Northern Ireland,14-Mar-20,5,34
Scotland,14-Mar-20,36,121
Wales,14-Mar-20,22,60
England,15-Mar-20,253,1099
Northern Ireland,15-Mar-20,11,45
Scotland,15-Mar-20,32,153
Wales,15-Mar-20,34,94
England,16-Mar-20,97,1196
Northern Ireland,16-Mar-20,7,52
Scotland,16-Mar-20,18,171
Wales,16-Mar-20,30,124
England,17-Mar-20,361,1557
Northern Ireland,17-Mar-20,10,62
Scotland,17-Mar-20,24,195
Wales,17-Mar-20,12,136
England,18-Mar-20,625,2182
Northern Ireland,18-Mar-20,6,68
Scotland,18-Mar-20,32,227
Wales,18-Mar-20,13,149
England,19-Mar-20,574,2756
Northern Ireland,19-Mar-20,9,77
Scotland,19-Mar-20,39,266
Wales,19-Mar-20,21,170
England,20-Mar-20,628,3384
Northern Ireland,20-Mar-20,9,86
Scotland,20-Mar-20,56,322
Wales,20-Mar-20,21,191
England,21-Mar-20,873,4257
Northern Ireland,21-Mar-20,22,108
Scotland,21-Mar-20,51,373
Wales,21-Mar-20,89,280
England,22-Mar-20,535,4792
Northern Ireland,22-Mar-20,20,128
Scotland,22-Mar-20,43,416
Wales,22-Mar-20,67,347
England,23-Mar-20,793,5585
Northern Ireland,23-Mar-20,20,148
Scotland,23-Mar-20,83,499
Wales,23-Mar-20,71,418
England,24-Mar-20,1258,6843
Northern Ireland,24-Mar-20,24,172
Scotland,24-Mar-20,85,584
Wales,24-Mar-20,60,478
England,25-Mar-20,1130,7973
Northern Ireland,25-Mar-20,37,209
Scotland,25-Mar-20,135,719
Wales,25-Mar-20,150,628
England,26-Mar-20,1809,9782
Northern Ireland,26-Mar-20,32,241
Scotland,26-Mar-20,175,894
Wales,26-Mar-20,113,741
England,27-Mar-20,2506,12288
Northern Ireland,27-Mar-20,34,275
Scotland,27-Mar-20,165,1059
Wales,27-Mar-20,180,921
England,28-Mar-20,2139,14427
Northern Ireland,28-Mar-20,49,324
Scotland,28-Mar-20,186,1245
Wales,28-Mar-20,172,1093
England,29-Mar-20,2060,16487
Northern Ireland,29-Mar-20,86,410
Scotland,29-Mar-20,139,1384
Wales,29-Mar-20,148,1241
England,30-Mar-20,2107,18594
Northern Ireland,30-Mar-20,123,533
Scotland,30-Mar-20,179,1563
Wales,30-Mar-20,210,1451
England,31-Mar-20,2414,21008
Northern Ireland,31-Mar-20,53,586
Scotland,31-Mar-20,430,1993
Wales,31-Mar-20,112,1563
England,01-Apr-20,3630,24638
Northern Ireland,01-Apr-20,103,689
Scotland,01-Apr-20,317,2310
Wales,01-Apr-20,274,1837
England,02-Apr-20,3583,28221
Northern Ireland,02-Apr-20,85,774
Scotland,02-Apr-20,292,2602
Wales,02-Apr-20,284,2121
England,03-Apr-20,3576,31797
Northern Ireland,03-Apr-20,130,904
Scotland,03-Apr-20,399,3001
Wales,03-Apr-20,345,2466
England,04-Apr-20,2910,34707
Northern Ireland,04-Apr-20,94,998
Scotland,04-Apr-20,344,3345
Wales,04-Apr-20,387,2853
England,05-Apr-20,5107,39814
Northern Ireland,05-Apr-20,91,1089
Scotland,05-Apr-20,361,3706
Wales,05-Apr-20,344,3197
England,06-Apr-20,3176,42990
Northern Ireland,06-Apr-20,69,1158
Scotland,06-Apr-20,255,3961
Wales,06-Apr-20,302,3499
England,07-Apr-20,2978,45968
Northern Ireland,07-Apr-20,97,1255
Scotland,07-Apr-20,268,4229
Wales,07-Apr-20,291,3790
England,08-Apr-20,4788,50756
Northern Ireland,08-Apr-20,84,1339
Scotland,08-Apr-20,336,4565
Wales,08-Apr-20,283,4073
England,09-Apr-20,3798,54554
Northern Ireland,09-Apr-20,138,1477
Scotland,09-Apr-20,392,4957
Wales,09-Apr-20,16,4089
England,10-Apr-20,4263,58817
Northern Ireland,10-Apr-20,112,1589
Scotland,10-Apr-20,318,5275
Wales,10-Apr-20,502,4591
England,11-Apr-20,3841,62658
Northern Ireland,11-Apr-20,128,1717
Scotland,11-Apr-20,315,5590
Wales,11-Apr-20,340,4930
England,12-Apr-20,3672,66330
Northern Ireland,12-Apr-20,89,1806
Scotland,12-Apr-20,322,5912
Wales,12-Apr-20,367,5297
England,13-Apr-20,2999,69329
Northern Ireland,13-Apr-20,76,1882
Scotland,13-Apr-20,155,6067
Wales,13-Apr-20,313,5610
England,14-Apr-20,3854,73183
Northern Ireland,14-Apr-20,85,1967
Scotland,14-Apr-20,291,6358
Wales,14-Apr-20,238,5848
England,15-Apr-20,3188,76371
Northern Ireland,15-Apr-20,121,2088
Scotland,15-Apr-20,390,6748
Wales,15-Apr-20,272,6118
England,16-Apr-20,3118,79489
Northern Ireland,16-Apr-20,113,2201
Scotland,16-Apr-20,354,7102
Wales,16-Apr-20,284,6401
England,17-Apr-20,3985,83474
Northern Ireland,17-Apr-20,137,2338
Scotland,17-Apr-20,307,7409
Wales,17-Apr-20,244,6645
England,18-Apr-20,3548,87022
Northern Ireland,18-Apr-20,148,2486
Scotland,18-Apr-20,411,7820
Wales,18-Apr-20,292,6936
England,19-Apr-20,3607,90629
Northern Ireland,19-Apr-20,159,2645
Scotland,19-Apr-20,367,8187
Wales,19-Apr-20,334,7270
England,20-Apr-20,2401,93030
Northern Ireland,20-Apr-20,83,2728
Scotland,20-Apr-20,263,8450
Wales,20-Apr-20,276,7546
England,21-Apr-20,3087,96117
Northern Ireland,21-Apr-20,30,2758
Scotland,21-Apr-20,222,8672
Wales,21-Apr-20,304,7850
England,22-Apr-20,3020,99137
Northern Ireland,22-Apr-20,116,2874
Scotland,22-Apr-20,366,9038
Wales,22-Apr-20,274,8124
England,23-Apr-20,3084,102221
Northern Ireland,23-Apr-20,142,3016
Scotland,23-Apr-20,371,9409
Wales,23-Apr-20,234,8358
England,24-Apr-20,3004,105225
Northern Ireland,24-Apr-20,106,3122
Scotland,24-Apr-20,288,9697
Wales,24-Apr-20,243,8601
England,25-Apr-20,2826,108051
Northern Ireland,25-Apr-20,104,3226
Scotland,25-Apr-20,354,10051
Wales,25-Apr-20,299,8900
England,26-Apr-20,2152,110203
Northern Ireland,26-Apr-20,82,3308
Scotland,26-Apr-20,273,10324
Wales,26-Apr-20,178,9078
England,27-Apr-20,2264,112467
Northern Ireland,27-Apr-20,66,3374
Scotland,27-Apr-20,197,10521
Wales,27-Apr-20,203,9280
England,28-Apr-20,1989,114456
Northern Ireland,28-Apr-20,34,3408
Scotland,28-Apr-20,200,10721
Wales,28-Apr-20,232,9512
England,29-Apr-20,1403,115859
Northern Ireland,29-Apr-20,55,3463
Scotland,29-Apr-20,313,11034
Wales,29-Apr-20,117,9629
England,30-Apr-20,2484,118343
Northern Ireland,30-Apr-20,73,3536
Scotland,30-Apr-20,319,11353
Wales,30-Apr-20,183,9812
England,01-May-20,2501,121006
Northern Ireland,01-May-20,87,3623
Scotland,01-May-20,301,11654
Wales,01-May-20,160,9972
England,02-May-20,2228,123234
Northern Ireland,02-May-20,66,3689
Scotland,02-May-20,273,11927
Wales,02-May-20,183,10155
England,03-May-20,2019,125253
Northern Ireland,03-May-20,78,3767
Scotland,03-May-20,170,12097
Wales,03-May-20,174,10329
England,04-May-20,1485,126738
Northern Ireland,04-May-20,69,3836
Scotland,04-May-20,169,12266
Wales,04-May-20,195,10524
England,05-May-20,1842,128580
Northern Ireland,05-May-20,45,3881
Scotland,05-May-20,171,12437
Wales,05-May-20,145,10669
England,06-May-20,1611,130191
Northern Ireland,06-May-20,53,3934
Scotland,06-May-20,272,12709
Wales,06-May-20,95,10764
England,07-May-20,2133,132324
Northern Ireland,07-May-20,50,3984
Scotland,07-May-20,215,12924
Wales,07-May-20,87,10851
England,08-May-20,1694,134018
Northern Ireland,08-May-20,38,4022
Scotland,08-May-20,225,13149
Wales,08-May-20,152,11003
England,09-May-20,1349,135367
Northern Ireland,09-May-20,56,4078
Scotland,09-May-20,156,13305
Wales,09-May-20,118,11121
England,10-May-20,1007,136374
Northern Ireland,10-May-20,41,4119
Scotland,10-May-20,181,13486
Wales,10-May-20,223,11344
England,11-May-20,891,137265
Northern Ireland,11-May-20,30,4149
Scotland,11-May-20,141,13627
Wales,11-May-20,124,11468
England,12-May-20,1067,138332
Northern Ireland,12-May-20,44,4193
Scotland,12-May-20,136,13763
Wales,12-May-20,105,11573
England,13-May-20,1146,139478
Northern Ireland,13-May-20,60,4253
Scotland,13-May-20,166,13929
Wales,13-May-20,133,11706
England,14-May-20,1189,140667
Northern Ireland,14-May-20,38,4291
Scotland,14-May-20,188,14117
Wales,14-May-20,128,11834
England,15-May-20,1112,141779
Northern Ireland,15-May-20,26,4317
Scotland,15-May-20,143,14260
Wales,15-May-20,126,11960
England,16-May-20,1136,142915
Northern Ireland,16-May-20,40,4357
Scotland,16-May-20,187,14447
Wales,16-May-20,183,12142
England,17-May-20,788,143703
Northern Ireland,17-May-20,28,4385
Scotland,17-May-20,90,14537
Wales,17-May-20,162,12304
England,18-May-20,816,144519
Northern Ireland,18-May-20,16,4401
Scotland,18-May-20,57,14594
Wales,18-May-20,101,12404
England,19-May-20,857,145376
Northern Ireland,19-May-20,20,4421
Scotland,19-May-20,61,14655
Wales,19-May-20,166,12570
England,20-May-20,824,145808
Northern Ireland,20-May-20,18,4439
Scotland,20-May-20,96,14751
Wales,20-May-20,110,12680
England,21-May-20,854,146662
Northern Ireland,21-May-20,42,4481
Scotland,21-May-20,105,14856
Wales,21-May-20,166,12846
England,22-May-20,1083,147745
Northern Ireland,22-May-20,23,4504
Scotland,22-May-20,113,14969
Wales,22-May-20,138,12984
England,23-May-20,979,148724
Northern Ireland,23-May-20,41,4545
Scotland,23-May-20,72,15041
Wales,23-May-20,185,13169
England,24-May-20,584,149308
Northern Ireland,24-May-20,25,4570
Scotland,24-May-20,60,15101
Wales,24-May-20,140,13309
England,25-May-20,494,149802
Northern Ireland,25-May-20,39,4609
Scotland,25-May-20,55,15156
Wales,25-May-20,106,13415
England,26-May-20,492,150294
Northern Ireland,26-May-20,28,4637
Scotland,26-May-20,29,15185
Wales,26-May-20,141,13556
England,27-May-20,609,150903
Northern Ireland,27-May-20,26,4663
Scotland,27-May-20,55,15240
Wales,27-May-20,97,13653
England,28-May-20,519,151422
Northern Ireland,28-May-20,16,4679
Scotland,28-May-20,48,15288
Wales,28-May-20,72,13725
England,29-May-20,560,151982
Northern Ireland,29-May-20,17,4696
Scotland,29-May-20,39,15327
Wales,29-May-20,102,13827
England,30-May-20,715,151856
Northern Ireland,30-May-20,13,4709
