nation,date,totalDailyCases,totalCases
England,January,2,2
England,February,19,237
England,March,20770,137180
England,April,97335,2275856
England,May,34904,4368301
England,June,8324,4714796
England,July,18138,7724166
England,August,28790,8529150
England,September,98204,9904161
England,October,470102,18630268
England,November,544631,34901519
England,December,147868,16262364
Northern Ireland,January,0,0
Northern Ireland,February,0,0
Northern Ireland,March,582,3667
Northern Ireland,April,2950,65215
Northern Ireland,May,1180,132948
Northern Ireland,June,174,149397
Northern Ireland,July,144,180612
Northern Ireland,August,1181,199979
Northern Ireland,September,4478,267292
Northern Ireland,October,26738,779669
Northern Ireland,November,14034,1394884
Northern Ireland,December,4792,605201
Scotland,January,0,0
Scotland,February,0,0
Scotland,March,1993,12471
Scotland,April,9360,208414
Scotland,May,4047,435579
Scotland,June,605,509101
Scotland,July,376,570842
Scotland,August,1851,601302
Scotland,September,8766,713406
Scotland,October,34669,1414114
Scotland,November,31145,2434083
Scotland,December,9249,1100789
Wales,January,0,0
Wales,February,1,2
Wales,March,1562,10185
Wales,April,8255,184261
Wales,May,4185,375765
Wales,June,1703,445989
Wales,July,677,513233
Wales,August,757,545371
Wales,September,5978,606355
Wales,October,26917,1089792
Wales,November,29473,1992857
Wales,December,17893,980025
