Date,engDaily,niDaily,scotDaily,walDaily,engTotal,niTotal,scotTotal,walTotal
10/12/2020,17622,441,933,1968,1531761,56719,103305,95998
09/12/2020,12960,483,897,2238,1514139,56278,102372,94030
08/12/2020,10459,351,692,780,1501179,55795,101475,91792
07/12/2020,11623,397,677,2021,1490720,55444,100783,91013
06/12/2020,14294,419,643,1916,1479097,55047,100106,88992
05/12/2020,12666,451,777,1645,1464803,54628,99463,87077
04/12/2020,13412,449,966,1471,1452137,54177,98686,85432
03/12/2020,11992,456,958,1473,1438725,53728,97720,83961
02/12/2020,13323,416,951,1480,1426733,53272,96762,82489
01/12/2020,11618,391,754,667,1413410,52856,95811,81009
30/11/2020,10869,290,369,802,1401792,52465,95058,80342
29/11/2020,10054,351,746,1004,1390923,52175,94689,79540
28/11/2020,13323,315,788,1445,1380869,51824,93943,78536
27/11/2020,13557,391,969,1105,1367546,51509,93155,77091
26/11/2020,14637,442,1225,1251,1355272,51118,92186,75986
25/11/2020,15893,533,880,907,1340635,50676,90961,74735
24/11/2020,9854,79,771,595,1324742,50143,90081,73828
23/11/2020,13329,280,949,892,1314888,50064,89310,73233
22/11/2020,16668,342,844,808,1301559,49784,88361,72341
21/11/2020,17615,357,887,1016,1284891,49442,87517,71533
20/11/2020,17845,369,1018,1020,1267276,49085,86630,70517
19/11/2020,20291,487,1089,1048,1249431,48716,85612,69497
18/11/2020,17189,518,1264,638,1229140,48229,84523,68449
17/11/2020,17549,549,1248,705,1211951,47711,83259,67811
16/11/2020,19423,331,717,892,1194402,47162,82011,67106
15/11/2020,21998,472,1159,1333,1174979,46831,81294,66214
14/11/2020,24298,511,1118,933,1152981,46359,80135,64881
13/11/2020,24540,607,1357,797,1128683,45848,79017,63948
12/11/2020,30843,548,1212,867,1104143,45241,77660,63151
11/11/2020,19970,791,1261,928,1073300,44693,76448,62284
10/11/2020,18622,514,832,444,1053330,43902,75187,61356
09/11/2020,19036,471,912,931,1034708,43388,74355,60912
08/11/2020,18293,420,1115,744,1015672,42917,73443,59981
07/11/2020,21875,528,1596,958,997379,42497,72328,59237
06/11/2020,20268,595,1072,1352,975504,41969,70732,58279
05/11/2020,21137,516,1216,1272,955236,41374,69660,56927
04/11/2020,21863,679,1433,1202,934099,40858,68444,55658
03/11/2020,17330,570,999,1119,912236,40179,67011,54456
02/11/2020,15860,493,951,1646,894906,39609,66012,53337
01/11/2020,20602,685,1148,819,879046,39116,65061,51691
31/10/2020,18864,649,1101,1301,858444,38431,63913,50872
30/10/2020,20821,566,1281,1737,839580,37782,62812,49571
