Age,Gender,CovidCase,CaseRate
90+,Female,2113,4817.20
90+,Male,1078,5166.30
85 - 89,Female,1667,2574.40
85 - 89,Male,1366,3084.10
80 - 84,Female,1565,1634.30
80 - 84,Male,1548,1984.40
75 - 79,Female,1312,1067.90
75 - 79,Male,1504,1393.70
70 - 74,Female,1250,713.00
70 - 74,Male,1561,971.90
65 - 69,Female,1402,833.40
65 - 69,Male,1642,1052.30
60 - 64,Female,2367,1312.90
60 - 64,Male,2240,1292.50
55 - 59,Female,3537,1571.20
55 - 59,Male,3105,1416.70
50 - 54,Female,4090,1928.90
50 - 54,Male,3397,1640.20
45 - 49,Female,4229,2178.20
45 - 49,Male,3354,1769.80
40 - 44,Female,4042,1944.70
40 - 44,Male,3223,1646.60
35 - 39,Female,4031,2002.90
35 - 39,Male,3330,1707.80
30 - 34,Female,4430,2422.90
30 - 34,Male,3450,1831.10
25 - 29,Female,4501,2770.10
25 - 29,Male,3385,1947.50
20 - 24,Female,4395,2726.20
20 - 24,Male,3430,2000.30
15 - 19,Female,3593,1964.60
15 - 19,Male,3169,1640.30
10 - 14,Female,1812,933.70
10 - 14,Male,1909,937.60
0 - 4,Female,883,493.50
0 - 4,Male,934,493.90
