Age,Gender,CovidCase,CaseRate
90+,Female,1834,4857.2
90+,Male,1026,5208.7
85 - 89,Female,1846,3319.9
85 - 89,Male,1595,4213.2
80 - 84,Female,1906,2234.9
80 - 84,Male,2020,3082.5
75 - 79,Female,1800,1688.2
75 - 79,Male,2059,2375.2
70 - 74,Female,2002,1367.7
70 - 74,Male,2430,1910.8
65 - 69,Female,2422,1469.9
65 - 69,Male,2867,1935.1
60 - 64,Female,3720,1859.4
60 - 64,Male,4299,2250.6
55 - 59,Female,5386,1877.3
55 - 59,Male,5336,1905
50 - 54,Female,6506,2202.7
50 - 54,Male,6080,2018.2
45 - 49,Female,7116,2206
45 - 49,Male,6492,1918.1
40 - 44,Female,7651,2028.9
40 - 44,Male,6841,1691.6
35 - 39,Female,8386,2053.7
35 - 39,Male,7580,1763.7
30 - 34,Female,9908,2568.3
30 - 34,Male,8977,2336.4
25 - 29,Female,11038,3914.9
25 - 29,Male,9019,3181.6
20 - 24,Female,8825,3887.6
20 - 24,Male,6995,2907.3
15 - 19,Female,6489,2475.3
15 - 19,Male,5811,2109.6
10 - 14,Female,3850,1308.7
10 - 14,Male,4188,1356.2
0 - 4,Female,1851,626.2
0 - 4,Male,1916,617.3
