Age,Gender,CovidCase,CaseRate
90+,Female,1713,11102.50
90+,Male,642,8942.00
85 - 89,Female,1664,6266.00
85 - 89,Male,1039,6058.70
80 - 84,Female,1601,3794.40
80 - 84,Male,1314,4063.00
75 - 79,Female,1289,2478.80
75 - 79,Male,1260,2797.70
70 - 74,Female,1451,1931.70
70 - 74,Male,1599,2296.50
65 - 69,Female,1627,2108.20
65 - 69,Male,1724,2387.70
60 - 64,Female,3003,3469.60
60 - 64,Male,2742,3330.10
55 - 59,Female,4274,4452.60
55 - 59,Male,3498,3835.90
50 - 54,Female,4717,5467.80
50 - 54,Male,3697,4530.30
45 - 49,Female,4304,5828.20
45 - 49,Male,3203,4529.10
40 - 44,Female,3999,4847.70
40 - 44,Male,2800,3576.90
35 - 39,Female,4200,4904.30
35 - 39,Male,3106,3725.60
30 - 34,Female,4472,5063.90
30 - 34,Male,3436,3742.60
25 - 29,Female,4609,5431.60
25 - 29,Male,3779,4115.00
20 - 24,Female,5675,8084.40
20 - 24,Male,4670,6214.30
15 - 19,Female,5876,7997.10
15 - 19,Male,4713,6098.70
10 - 14,Female,1674,2197.20
10 - 14,Male,1626,2019.30
0 - 4,Female,840,1220.10
0 - 4,Male,828,1135.80
