Age,Gender,CovidCase,CaseRate
90+,Female,3308,4945.40
90+,Male,1479,4544.50
85 - 89,Female,2760,2896.50
85 - 89,Male,1960,3073.60
80 - 84,Female,2235,1595.10
80 - 84,Male,2127,1928.10
75 - 79,Female,1860,1031.40
75 - 79,Male,2083,1339.60
70 - 74,Female,1977,781.80
70 - 74,Male,2360,1028.90
65 - 69,Female,2230,925.60
65 - 69,Male,2385,1068.10
60 - 64,Female,3795,1440.30
60 - 64,Male,3561,1396.10
55 - 59,Female,5832,1746.10
55 - 59,Male,4660,1424.80
50 - 54,Female,6656,2093.40
50 - 54,Male,5249,1687.90
45 - 49,Female,6797,2323.50
45 - 49,Male,5106,1805.40
40 - 44,Female,6526,2155.40
40 - 44,Male,5028,1771.40
35 - 39,Female,6387,2288.60
35 - 39,Male,4939,1820.30
30 - 34,Female,6489,2436.50
30 - 34,Male,5120,1836.90
25 - 29,Female,6771,2642.50
25 - 29,Male,5145,1858.60
20 - 24,Female,7149,2878.80
20 - 24,Male,6003,2283.70
15 - 19,Female,6637,2434.20
15 - 19,Male,5638,1954.40
10 - 14,Female,3079,1089.90
10 - 14,Male,3286,1102.70
0 - 4,Female,1366,539.30
0 - 4,Male,1428,534.00
