Age,Gender,CovidCase,CaseRate
90+,Female,1495,3315.10
90+,Male,749,3551.30
85 - 89,Female,1284,1970.30
85 - 89,Male,880,2017.20
80 - 84,Female,1056,1116.20
80 - 84,Male,1007,1304.10
75 - 79,Female,967,767.90
75 - 79,Male,1080,969.50
70 - 74,Female,1017,575.70
70 - 74,Male,1240,759.60
65 - 69,Female,1059,619.30
65 - 69,Male,1291,816.50
60 - 64,Female,2125,1201.30
60 - 64,Male,1855,1103.00
55 - 59,Female,3080,1511.40
55 - 59,Male,2582,1315.30
50 - 54,Female,3487,1880.40
50 - 54,Male,2849,1598.70
45 - 49,Female,3255,2070.80
45 - 49,Male,2485,1617.60
40 - 44,Female,2968,1771.80
40 - 44,Male,2391,1478.30
35 - 39,Female,3140,1897.40
35 - 39,Male,2435,1474.20
30 - 34,Female,3532,2189.40
30 - 34,Male,2880,1672.30
25 - 29,Female,3942,2446.30
25 - 29,Male,3207,1849.10
20 - 24,Female,5616,3820.60
20 - 24,Male,5144,3339.70
15 - 19,Female,5091,3313.90
15 - 19,Male,4044,2508.50
10 - 14,Female,1199,752.40
10 - 14,Male,1207,721.50
0 - 4,Female,801,567.10
0 - 4,Male,784,523.80
