Age,Gender,CovidCase,CaseRate
90+,Female,2840,7778.10
90+,Male,1227,7313.60
85 - 89,Female,2596,4623.80
85 - 89,Male,1914,5159.70
80 - 84,Female,2541,2909.80
80 - 84,Male,2363,3416.30
75 - 79,Female,2256,1959.70
75 - 79,Male,2446,2431.80
70 - 74,Female,2443,1616.70
70 - 74,Male,2685,1918.00
65 - 69,Female,2736,1805.90
65 - 69,Male,3094,2148.10
60 - 64,Female,4372,2687.60
60 - 64,Male,4299,2714.50
55 - 59,Female,6311,3069.00
55 - 59,Male,5637,2813.00
50 - 54,Female,7737,3998.20
50 - 54,Male,6366,3341.60
45 - 49,Female,7427,4375.80
45 - 49,Male,6286,3729.40
40 - 44,Female,7213,3828.30
40 - 44,Male,5802,3161.20
35 - 39,Female,7517,3880.50
35 - 39,Male,5991,3082.50
30 - 34,Female,8090,4032.20
30 - 34,Male,6706,3190.60
25 - 29,Female,8147,4323.40
25 - 29,Male,6632,3300.80
20 - 24,Female,8556,5171.00
20 - 24,Male,7118,4060.50
15 - 19,Female,7119,3999.20
15 - 19,Male,5971,3198.10
10 - 14,Female,3488,1889.30
10 - 14,Male,3638,1865.10
0 - 4,Female,1509,872.40
0 - 4,Male,1680,924.70
