Age,Gender,CovidCase,CaseRate
90+,Female,2856,8803.10
90+,Male,1287,8789.80
85 - 89,Female,2717,5209.10
85 - 89,Male,1787,5410.90
80 - 84,Female,2661,3244.20
80 - 84,Male,2446,3890.10
75 - 79,Female,2463,2380.00
75 - 79,Male,2519,2841.60
70 - 74,Female,2777,1904.80
70 - 74,Male,3020,2248.80
65 - 69,Female,3375,2327.70
65 - 69,Male,3616,2612.90
60 - 64,Female,5846,3664.50
60 - 64,Male,5532,3574.40
55 - 59,Female,8418,4388.60
55 - 59,Male,7392,3924.30
50 - 54,Female,9890,5476.80
50 - 54,Male,8155,4604.40
45 - 49,Female,9331,6028.20
45 - 49,Male,7378,4773.70
40 - 44,Female,8671,4994.80
40 - 44,Male,6895,4105.20
35 - 39,Female,9576,5346.20
35 - 39,Male,7477,4272.60
30 - 34,Female,10132,5503.40
30 - 34,Male,7997,4155.10
25 - 29,Female,10614,5852.40
25 - 29,Male,8552,4515.50
20 - 24,Female,12699,8325.00
20 - 24,Male,9912,6197.20
15 - 19,Female,10084,6258.30
15 - 19,Male,8027,4775.60
10 - 14,Female,4172,2496.90
10 - 14,Male,4010,2292.80
0 - 4,Female,1808,1163.70
0 - 4,Male,1860,1142.70
