week,date,ageGroup,admissionRate
27,2020-07-05,under 5,0.63
27,2020-07-05,5 to 14,0.06
27,2020-07-05,15 to 44,0.47
27,2020-07-05,45 to 64,1.04
27,2020-07-05,65 to 74,2.46
27,2020-07-05,75 to 84,6.36
27,2020-07-05,85+,15.74
28,2020-07-12,under 5,0.31
28,2020-07-12,5 to 14,0.02
28,2020-07-12,15 to 44,0.45
28,2020-07-12,45 to 64,0.99
28,2020-07-12,65 to 74,2.47
28,2020-07-12,75 to 84,4.98
28,2020-07-12,85+,12.94
29,2020-07-19,under 5,0.35
29,2020-07-19,5 to 14,0.1
29,2020-07-19,15 to 44,0.33
29,2020-07-19,45 to 64,0.81
29,2020-07-19,65 to 74,1.8
29,2020-07-19,75 to 84,3.94
29,2020-07-19,85+,11.18
30,2020-07-26,under 5,0.31
30,2020-07-26,5 to 14,0.02
30,2020-07-26,15 to 44,0.3
30,2020-07-26,45 to 64,0.77
30,2020-07-26,65 to 74,1.48
30,2020-07-26,75 to 84,2.75
30,2020-07-26,85+,6.96
31,2020-08-02,under 5,0.18
31,2020-08-02,5 to 14,0.04
31,2020-08-02,15 to 44,0.26
31,2020-08-02,45 to 64,0.75
31,2020-08-02,65 to 74,1.38
31,2020-08-02,75 to 84,2.86
31,2020-08-02,85+,6.95
32,2020-08-09,under 5,0.29
32,2020-08-09,5 to 14,0
32,2020-08-09,15 to 44,0.27
32,2020-08-09,45 to 64,0.64
32,2020-08-09,65 to 74,1.45
32,2020-08-09,75 to 84,2.26
32,2020-08-09,85+,5.71
33,2020-08-16,under 5,0.21
33,2020-08-16,5 to 14,0.16
33,2020-08-16,15 to 44,0.33
33,2020-08-16,45 to 64,0.58
33,2020-08-16,65 to 74,1.28
33,2020-08-16,75 to 84,2.4
33,2020-08-16,85+,5.47
34,2020-08-23,under 5,0.25
34,2020-08-23,5 to 14,0.06
34,2020-08-23,15 to 44,0.27
34,2020-08-23,45 to 64,0.67
34,2020-08-23,65 to 74,1
34,2020-08-23,75 to 84,1.97
34,2020-08-23,85+,3.25
35,2020-08-30,under 5,0.07
35,2020-08-30,5 to 14,0.02
35,2020-08-30,15 to 44,0.29
35,2020-08-30,45 to 64,0.59
35,2020-08-30,65 to 74,0.99
35,2020-08-30,75 to 84,1.71
35,2020-08-30,85+,2.98
36,2020-09-06,under 5,0.21
36,2020-09-06,5 to 14,0.08
36,2020-09-06,15 to 44,0.36
36,2020-09-06,45 to 64,0.62
36,2020-09-06,65 to 74,1.47
36,2020-09-06,75 to 84,3.17
36,2020-09-06,85+,5.21
37,2020-09-13,under 5,0.44
37,2020-09-13,5 to 14,0.19
37,2020-09-13,15 to 44,0.74
37,2020-09-13,45 to 64,1.4
37,2020-09-13,65 to 74,2.15
37,2020-09-13,75 to 84,4.5
37,2020-09-13,85+,10.01
38,2020-09-20,under 5,0.25
38,2020-09-20,5 to 14,0.08
38,2020-09-20,15 to 44,1.11
38,2020-09-20,45 to 64,2.08
38,2020-09-20,65 to 74,3.86
38,2020-09-20,75 to 84,8.06
38,2020-09-20,85+,12.59
39,2020-09-27,under 5,0.46
39,2020-09-27,5 to 14,0.14
39,2020-09-27,15 to 44,1.38
39,2020-09-27,45 to 64,3.06
39,2020-09-27,65 to 74,5.76
39,2020-09-27,75 to 84,10.94
39,2020-09-27,85+,20.26
40,2020-10-04,under 5,0.29
40,2020-10-04,5 to 14,0.14
40,2020-10-04,15 to 44,1.4
40,2020-10-04,45 to 64,3.81
40,2020-10-04,65 to 74,7.56
40,2020-10-04,75 to 84,13.97
40,2020-10-04,85+,22.08
41,2020-10-11,under 5,0.73
41,2020-10-11,5 to 14,0.34
41,2020-10-11,15 to 44,1.96
41,2020-10-11,45 to 64,5.1
41,2020-10-11,65 to 74,11.29
41,2020-10-11,75 to 84,23.98
41,2020-10-11,85+,40.26
42,2020-10-18,under 5,0.65
42,2020-10-18,5 to 14,0.46
42,2020-10-18,15 to 44,2.28
42,2020-10-18,45 to 64,7.43
42,2020-10-18,65 to 74,15.06
42,2020-10-18,75 to 84,34.2
42,2020-10-18,85+,62.67
43,2020-10-25,under 5,1.2
43,2020-10-25,5 to 14,0.41
43,2020-10-25,15 to 44,2.46
43,2020-10-25,45 to 64,8.41
43,2020-10-25,65 to 74,20.51
43,2020-10-25,75 to 84,46.7
43,2020-10-25,85+,92.28
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
