date,region,patients,geoOrder
01/04/2020,East of England,812,4
01/04/2020,London,4012,5
01/04/2020,Midlands,2138,3
01/04/2020,North East and Yorkshire,1254,2
01/04/2020,North West,1392,1
01/04/2020,South East,1368,6
01/04/2020,South West,564,7
02/04/2020,East of England,796,4
02/04/2020,London,4009,5
02/04/2020,Midlands,1729,3
02/04/2020,North East and Yorkshire,1319,2
02/04/2020,North West,1476,1
02/04/2020,South East,1614,6
02/04/2020,South West,590,7
03/04/2020,East of England,870,4
03/04/2020,London,3836,5
03/04/2020,Midlands,2546,3
03/04/2020,North East and Yorkshire,1771,2
03/04/2020,North West,1638,1
03/04/2020,South East,1541,6
03/04/2020,South West,642,7
04/04/2020,East of England,931,4
04/04/2020,London,4406,5
04/04/2020,Midlands,2768,3
04/04/2020,North East and Yorkshire,2013,2
04/04/2020,North West,2049,1
04/04/2020,South East,1712,6
04/04/2020,South West,703,7
05/04/2020,East of England,1161,4
05/04/2020,London,4571,5
05/04/2020,Midlands,2895,3
05/04/2020,North East and Yorkshire,2218,2
05/04/2020,North West,2178,1
05/04/2020,South East,1850,6
05/04/2020,South West,740,7
06/04/2020,East of England,1144,4
06/04/2020,London,4656,5
06/04/2020,Midlands,3042,3
06/04/2020,North East and Yorkshire,2041,2
06/04/2020,North West,2409,1
06/04/2020,South East,1858,6
06/04/2020,South West,802,7
07/04/2020,East of England,1323,4
07/04/2020,London,4689,5
07/04/2020,Midlands,3086,3
07/04/2020,North East and Yorkshire,2113,2
07/04/2020,North West,2495,1
07/04/2020,South East,2073,6
07/04/2020,South West,791,7
08/04/2020,East of England,1316,4
08/04/2020,London,4813,5
08/04/2020,Midlands,3070,3
08/04/2020,North East and Yorkshire,2319,2
08/04/2020,North West,2436,1
08/04/2020,South East,2058,6
08/04/2020,South West,772,7
09/04/2020,East of England,1272,4
09/04/2020,London,4791,5
09/04/2020,Midlands,2999,3
09/04/2020,North East and Yorkshire,2567,2
09/04/2020,North West,2596,1
09/04/2020,South East,1930,6
09/04/2020,South West,797,7
10/04/2020,East of England,1345,4
10/04/2020,London,4736,5
10/04/2020,Midlands,3101,3
10/04/2020,North East and Yorkshire,2304,2
10/04/2020,North West,2721,1
10/04/2020,South East,2031,6
10/04/2020,South West,809,7
11/04/2020,East of England,1322,4
11/04/2020,London,4430,5
11/04/2020,Midlands,3062,3
11/04/2020,North East and Yorkshire,2422,2
11/04/2020,North West,2830,1
11/04/2020,South East,2007,6
11/04/2020,South West,808,7
12/04/2020,East of England,1484,4
12/04/2020,London,4433,5
12/04/2020,Midlands,3092,3
12/04/2020,North East and Yorkshire,2440,2
12/04/2020,North West,2837,1
12/04/2020,South East,2053,6
12/04/2020,South West,833,7
13/04/2020,East of England,1268,4
13/04/2020,London,4248,5
13/04/2020,Midlands,2975,3
13/04/2020,North East and Yorkshire,2470,2
13/04/2020,North West,2890,1
13/04/2020,South East,2049,6
13/04/2020,South West,822,7
14/04/2020,East of England,1387,4
14/04/2020,London,4031,5
14/04/2020,Midlands,2989,3
14/04/2020,North East and Yorkshire,2431,2
14/04/2020,North West,2842,1
14/04/2020,South East,2020,6
14/04/2020,South West,840,7
15/04/2020,East of England,1418,4
15/04/2020,London,3886,5
15/04/2020,Midlands,2756,3
15/04/2020,North East and Yorkshire,2400,2
15/04/2020,North West,2655,1
15/04/2020,South East,1970,6
15/04/2020,South West,832,7
16/04/2020,East of England,1364,4
16/04/2020,London,3800,5
16/04/2020,Midlands,2708,3
16/04/2020,North East and Yorkshire,2353,2
16/04/2020,North West,2753,1
16/04/2020,South East,1911,6
16/04/2020,South West,796,7
17/04/2020,East of England,1340,4
17/04/2020,London,3617,5
17/04/2020,Midlands,2496,3
17/04/2020,North East and Yorkshire,2206,2
17/04/2020,North West,2389,1
17/04/2020,South East,1893,6
17/04/2020,South West,792,7
18/04/2020,East of England,1323,4
18/04/2020,London,3445,5
18/04/2020,Midlands,2510,3
18/04/2020,North East and Yorkshire,2236,2
18/04/2020,North West,2652,1
18/04/2020,South East,1932,6
18/04/2020,South West,770,7
19/04/2020,East of England,1362,4
19/04/2020,London,3384,5
19/04/2020,Midlands,2523,3
19/04/2020,North East and Yorkshire,2217,2
19/04/2020,North West,2651,1
19/04/2020,South East,1933,6
19/04/2020,South West,771,7
20/04/2020,East of England,1363,4
20/04/2020,London,3378,5
20/04/2020,Midlands,2524,3
20/04/2020,North East and Yorkshire,2121,2
20/04/2020,North West,2631,1
20/04/2020,South East,1936,6
20/04/2020,South West,737,7
21/04/2020,East of England,1319,4
21/04/2020,London,3270,5
21/04/2020,Midlands,2497,3
21/04/2020,North East and Yorkshire,2226,2
21/04/2020,North West,2547,1
21/04/2020,South East,1897,6
21/04/2020,South West,731,7
22/04/2020,East of England,1293,4
22/04/2020,London,3134,5
22/04/2020,Midlands,2416,3
22/04/2020,North East and Yorkshire,2148,2
22/04/2020,North West,2462,1
22/04/2020,South East,1856,6
22/04/2020,South West,713,7
23/04/2020,East of England,1261,4
